category,brand,model,weight_kg,reference_price,currency,product_url,official_source
tent,Naturehike,KOTA™ 8-Person Camping Tent,8.5,259.0,USD,https://www.campgearcompare.com/products/naturehike-kota-8-person-camping-tent.html,https://www.naturehike.com/products/kota-8-person-camping-tent
tent,Naturehike,Lingfeng Air 12 Lightweight Inflatable 4 Season Tent,13.0,999.0,USD,https://www.campgearcompare.com/products/naturehike-lingfeng-air-12-lightweight-inflatable-tent.html,https://www.naturehike.com/products/lingfeng-air-12-lightweight-inflatable-tent
tent,Naturehike,Lingfeng Air 7.3 Lightweight Inflatable Tent,13.0,699.0,USD,https://www.campgearcompare.com/products/naturehike-lingfeng-air-7-3-lightweight-inflatable-tent.html,https://www.naturehike.com/products/lingfeng-air-7-3-lightweight-inflatable-tent
tent,Naturehike,MG Hexagonal Yurt Tent,15.0,299.0,USD,https://www.campgearcompare.com/products/naturehike-mg-hexagonal-yurt-tent.html,https://www.naturehike.com/products/mg-hexagonal-yurt-tent
tent,Naturehike,Massif™ 2-Person Hot Tent,8.0,299.0,USD,https://www.campgearcompare.com/products/naturehike-massif-2-person-4-season-hot-tent.html,https://www.naturehike.com/products/massif-2-person-4-season-hot-tent
tent,Naturehike,Massif™ 4-Person Hot Tent,9.4,499.0,USD,https://www.campgearcompare.com/products/naturehike-massif-4-person-4-season-hot-tent.html,https://www.naturehike.com/products/massif-4-person-4-season-hot-tent
tent,Naturehike,Massif™ Solo 2-Person Hot Tent,8.0,299.0,USD,https://www.campgearcompare.com/products/naturehike-massif-solo-2-person-4-season-hot-tent.html,https://www.naturehike.com/products/massif-solo-2-person-4-season-hot-tent
tent,Naturehike,Mini Hiby 4-Season Pet Tent,1.5,199.0,USD,https://www.campgearcompare.com/products/naturehike-mini-hiby-pet-tent.html,https://www.naturehike.com/products/mini-hiby-pet-tent
tent,Naturehike,Mongar™ 2-Person Ultralight Backpacking Tent,0.3,39.0,USD,https://www.campgearcompare.com/products/naturehike-mongar-2-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/mongar-2-person-ultralight-backpacking-tent
tent,Naturehike,Mongar™ BASE 2-Person Backpacking Tent,3.1,129.0,USD,https://www.campgearcompare.com/products/naturehike-mongartm-base-2-person-backpacking-tent.html,https://www.naturehike.com/products/mongartm-base-2-person-backpacking-tent
